ticker,event_time,signal,confidence
A,2025-09-30,buy,0.49587973952293396
AAPL,2025-09-30,buy,0.6198967695236206
ABBV,2025-09-30,buy,0.4773256182670593
ABT,2025-09-30,sell,0.4904641807079315
ACN,2025-09-30,buy,0.6120975017547607
ADM,2025-09-30,buy,0.3094053566455841
ADSK,2025-09-30,buy,0.3945789635181427
AFL,2025-09-30,buy,0.31587085127830505
AIV,2025-09-30,sell,0.702896773815155
ALGN,2025-09-30,buy,0.4966786205768585
ALK,2025-09-30,buy,0.5955065488815308
ALLE,2025-09-30,buy,0.4409598112106323
AMAT,2025-09-30,buy,0.634564995765686
AMD,2025-09-30,buy,0.35012340545654297
AME,2025-09-30,buy,0.587212085723877
AMG,2025-09-30,buy,0.34216752648353577
AMGN,2025-09-30,sell,0.409020334482193
AMP,2025-09-30,buy,0.5524189472198486
AMZN,2025-09-30,buy,0.4677324891090393
ANET,2025-09-30,buy,0.6682122349739075
AOS,2025-09-30,buy,0.5820069313049316
APA,2025-09-30,buy,0.3516707420349121
APD,2025-09-30,buy,0.4464329779148102
APTV,2025-09-30,buy,0.37477874755859375
ARE,2025-09-30,buy,0.3490281403064728
ARKF,2025-09-30,buy,0.34099677205085754
ARKG,2025-09-30,buy,0.4207128882408142
ARKK,2025-09-30,buy,0.4176114499568939
ARKQ,2025-09-30,buy,0.35635140538215637
ARKW,2025-09-30,buy,0.5304518342018127
ATR,2025-09-30,buy,0.6339630484580994
AVY,2025-09-30,sell,0.4315864145755768
AWK,2025-09-30,buy,0.340168833732605
AXP,2025-09-30,buy,0.3269546926021576
BA,2025-09-30,buy,0.3484819829463959
BABA,2025-09-30,buy,0.502330482006073
BAC,2025-09-30,buy,0.4449293315410614
BAX,2025-09-30,buy,0.5353659987449646
BBBY,2025-09-30,buy,0.3084620535373688
BIDU,2025-09-30,buy,0.32077890634536743
BIIB,2025-09-30,buy,0.46762046217918396
BILI,2025-09-30,buy,0.5050671696662903
BKR,2025-09-30,buy,0.41271552443504333
BLK,2025-09-30,buy,0.4961031377315521
BMY,2025-09-30,sell,0.39287900924682617
BSX,2025-09-30,buy,0.3383270800113678
BWA,2025-09-30,buy,0.4994677007198334
BXP,2025-09-30,buy,0.359834223985672
C,2025-09-30,buy,0.35520797967910767
CAH,2025-09-30,buy,0.3974633812904358
CAT,2025-09-30,buy,0.372152715921402
CB,2025-09-30,buy,0.35654640197753906
CBOE,2025-09-30,buy,0.45093461871147156
CBRE,2025-09-30,buy,0.5835556387901306
CCI,2025-09-30,sell,0.3112628757953644
CCL,2025-09-30,buy,0.47689610719680786
CDNS,2025-09-30,buy,0.3305951654911041
CDW,2025-09-30,buy,0.31495365500450134
CE,2025-09-30,buy,0.6571642160415649
CF,2025-09-30,buy,0.5635198950767517
CHD,2025-09-30,buy,0.43249931931495667
CHRW,2025-09-30,buy,0.4668453633785248
CHTR,2025-09-30,buy,0.40676382184028625
CI,2025-09-30,buy,0.3046759068965912
CINF,2025-09-30,buy,0.3832113444805145
CL,2025-09-30,buy,0.3326261639595032
CLX,2025-09-30,sell,0.4350696802139282
CMCSA,2025-09-30,buy,0.6210335493087769
CME,2025-09-30,buy,0.4658297896385193
CMG,2025-09-30,buy,0.46237820386886597
CMS,2025-09-30,sell,0.5610889196395874
CNX,2025-09-30,buy,0.42712366580963135
COF,2025-09-30,buy,0.3201748728752136
COIN,2025-09-30,buy,0.3444964289665222
COO,2025-09-30,buy,0.5881487131118774
COST,2025-09-30,buy,0.48682183027267456
CPRI,2025-09-30,buy,0.39119648933410645
CPRT,2025-09-30,buy,0.43345195055007935
CRL,2025-09-30,buy,0.6250298619270325
CSCO,2025-09-30,buy,0.34615224599838257
CSGP,2025-09-30,sell,0.3064625859260559
CSX,2025-09-30,buy,0.6752073168754578
CTAS,2025-09-30,buy,0.32709571719169617
CTVA,2025-09-30,buy,0.36427730321884155
CVS,2025-09-30,buy,0.3122546970844269
CVX,2025-09-30,sell,0.4822328984737396
D,2025-09-30,buy,0.3003358840942383
DD,2025-09-30,buy,0.49435481429100037
DELL,2025-09-30,buy,0.3688531816005707
DG,2025-09-30,buy,0.6297405958175659
DHI,2025-09-30,buy,0.5425596237182617
DIS,2025-09-30,buy,0.372428834438324
DLTR,2025-09-30,buy,0.37199822068214417
DPZ,2025-09-30,buy,0.3482837677001953
DRI,2025-09-30,buy,0.3606993854045868
DVA,2025-09-30,buy,0.32456836104393005
DXC,2025-09-30,buy,0.4489014148712158
EA,2025-09-30,buy,0.44792047142982483
EBAY,2025-09-30,sell,0.4951719045639038
ECL,2025-09-30,buy,0.3437500596046448
ED,2025-09-30,buy,0.4314969480037689
EDU,2025-09-30,sell,0.3599826395511627
EFX,2025-09-30,sell,0.3204115629196167
EIX,2025-09-30,sell,0.3620319068431854
EL,2025-09-30,buy,0.34120187163352966
EMR,2025-09-30,buy,0.4139847755432129
ENPH,2025-09-30,buy,0.3211390972137451
EOG,2025-09-30,sell,0.3929353356361389
EQR,2025-09-30,sell,0.3327203094959259
ETN,2025-09-30,buy,0.5127608180046082
ETR,2025-09-30,buy,0.392294317483902
ETSY,2025-09-30,buy,0.3773505389690399
EXPD,2025-09-30,buy,0.686505913734436
EXPE,2025-09-30,buy,0.43749937415122986
F,2025-09-30,buy,0.3554362654685974
FANG,2025-09-30,sell,0.43076422810554504
FAST,2025-09-30,buy,0.5845250487327576
FCX,2025-09-30,buy,0.5443148612976074
FDX,2025-09-30,buy,0.389070063829422
FFIV,2025-09-30,buy,0.30491212010383606
FITB,2025-09-30,sell,0.42082738876342773
FOX,2025-09-30,buy,0.40031808614730835
FOXA,2025-09-30,buy,0.5352092385292053
FTI,2025-09-30,buy,0.6447115540504456
FTV,2025-09-30,sell,0.49386703968048096
GD,2025-09-30,buy,0.33551234006881714
GE,2025-09-30,buy,0.48362302780151367
GL,2025-09-30,buy,0.4006490409374237
GLD,2025-09-30,buy,0.5516473054885864
GM,2025-09-30,buy,0.3852275013923645
GME,2025-09-30,buy,0.4940699338912964
GOOG,2025-09-30,buy,0.5658168196678162
GOOGL,2025-09-30,buy,0.6628214120864868
GPN,2025-09-30,buy,0.4423975646495819
GRMN,2025-09-30,buy,0.32678157091140747
GS,2025-09-30,buy,0.4802374839782715
GWW,2025-09-30,buy,0.6863486766815186
HAL,2025-09-30,buy,0.4836266040802002
HAS,2025-09-30,buy,0.43291765451431274
HBAN,2025-09-30,buy,0.3796316981315613
HCA,2025-09-30,buy,0.5073893666267395
HCSG,2025-09-30,buy,0.5169291496276855
HD,2025-09-30,buy,0.43770766258239746
HIG,2025-09-30,buy,0.5445504784584045
HII,2025-09-30,buy,0.3720703721046448
HLT,2025-09-30,buy,0.48318830132484436
HOG,2025-09-30,buy,0.37761396169662476
HOLX,2025-09-30,buy,0.6648863554000854
HON,2025-09-30,buy,0.3449229598045349
HPE,2025-09-30,buy,0.3321034908294678
HRL,2025-09-30,sell,0.6572737693786621
HSIC,2025-09-30,buy,0.3286791443824768
HSY,2025-09-30,buy,0.6227226257324219
