ticker,event_time,signal,confidence
A,2025-09-15,buy,0.3764004111289978
AAPL,2025-09-15,buy,0.6920504570007324
ABBV,2025-09-15,buy,0.3074052631855011
ABT,2025-09-15,buy,0.39276576042175293
ACN,2025-09-12,sell,0.30585846304893494
ADBE,2025-09-15,sell,0.5408974885940552
ADM,2025-09-15,buy,0.32891908288002014
ADSK,2025-09-15,sell,0.34238454699516296
AEP,2025-09-15,buy,0.30449584126472473
AFL,2025-09-15,buy,0.359935998916626
AIV,2025-09-15,sell,0.5451341867446899
ALGN,2025-09-15,buy,0.404435932636261
ALK,2025-09-15,buy,0.5802778005599976
ALLE,2025-09-15,buy,0.5505951642990112
AMAT,2025-09-15,buy,0.3775312900543213
AMCR,2025-09-15,sell,0.32785552740097046
AMD,2025-09-15,buy,0.43817880749702454
AME,2025-09-15,buy,0.5035087466239929
AMG,2025-09-15,buy,0.4409640431404114
AMGN,2025-09-15,sell,0.3766995072364807
AMP,2025-09-15,buy,0.4746645987033844
AMT,2025-09-15,sell,0.3343677818775177
AMZN,2025-09-12,buy,0.5148757696151733
ANET,2025-09-15,buy,0.4047541320323944
AOS,2025-09-15,buy,0.34949859976768494
APA,2025-09-15,buy,0.4133771061897278
APD,2025-09-15,buy,0.541410505771637
APTV,2025-09-15,buy,0.4798252284526825
ARE,2025-09-15,buy,0.3391374945640564
ARKF,2025-09-15,buy,0.36869412660598755
ARKG,2025-09-15,buy,0.3302372097969055
ARKK,2025-09-15,buy,0.37305721640586853
ARKQ,2025-09-15,buy,0.43469205498695374
ARKW,2025-09-15,buy,0.5507234334945679
ATR,2025-09-15,buy,0.42838579416275024
AXP,2025-09-15,buy,0.3321314752101898
BA,2025-09-12,buy,0.344513863325119
BAC,2025-09-15,buy,0.4057086706161499
BBBY,2025-09-15,buy,0.3132355511188507
BEN,2025-09-15,buy,0.422025591135025
BIDU,2025-09-15,buy,0.3588298559188843
BIIB,2025-09-15,buy,0.5101031064987183
BILI,2025-09-15,buy,0.49345532059669495
BLK,2025-09-15,buy,0.3323705196380615
BR,2025-09-15,sell,0.31932970881462097
BSX,2025-09-15,sell,0.4116378426551819
BWA,2025-09-15,buy,0.37905532121658325
BXP,2025-09-15,buy,0.6177120804786682
C,2025-09-15,buy,0.6507180333137512
CAH,2025-09-15,buy,0.3583013415336609
CAT,2025-09-15,buy,0.39743003249168396
CB,2025-09-15,buy,0.32312914729118347
CBOE,2025-09-15,buy,0.44107407331466675
CBRE,2025-09-15,buy,0.6737974286079407
CCI,2025-09-15,sell,0.3116755485534668
CCL,2025-09-15,buy,0.47469791769981384
CDNS,2025-09-15,buy,0.31500303745269775
CDW,2025-09-15,sell,0.4066260755062103
CHD,2025-09-15,buy,0.489237904548645
CHRW,2025-09-15,buy,0.4436390697956085
CHTR,2025-09-15,buy,0.38080698251724243
CI,2025-09-15,sell,0.4338197708129883
CINF,2025-09-15,buy,0.5665783882141113
CMA,2025-09-15,buy,0.553482711315155
CMCSA,2025-09-15,buy,0.5047818422317505
CME,2025-09-15,sell,0.4848327934741974
CMG,2025-09-15,buy,0.41286998987197876
CMS,2025-09-15,sell,0.4988217055797577
CNX,2025-09-15,sell,0.39417320489883423
