symbol,side,qty,estimated_price,confidence,event_time,order_id,action
KLAC,sell,38,,,2025-10-06,30c1a14b-4ffd-44df-be36-13e950f8d311,exit
WM,buy,187,,,2025-10-06,7a3219de-2f65-4c72-8973-36b92f15bad2,exit
ARKG,sell,413,,,2025-10-06,c8b702eb-6519-453b-93a0-fe81f4233269,exit
MEC,buy,1,,,2025-10-06,9e0438d6-7f0b-45dd-963d-2502d61f2649,exit
LUMN,sell,1,,,2025-10-06,34d8d7ef-830e-40bc-919e-db049b8b5eac,exit
RJF,sell,233,,,2025-10-06,9ebde36d-fed9-47c5-9b81-8007db079cf6,exit
IPGP,sell,522,,,2025-10-06,ee34872d-2e7e-4886-b7d1-de6161a3646d,exit
URI,sell,10,,,2025-10-06,fd58172f-7d49-4986-a681-2d616db3f56e,exit
RSG,sell,3,,,2025-10-06,c261b50d-2350-4bfa-a608-9385774a9acd,exit
EXPD,sell,1,,,2025-10-06,b20b9430-3f87-4cfe-9223-50e121ca250e,exit
LUV,sell,1,,,2025-10-06,ecd60c3c-d6ea-4bc7-bb81-0539fcfb0309,exit
PTON,sell,2,,,2025-10-06,c107bf1b-a6bf-4e3a-baa8-83b7d92cbc9f,exit
AIV,buy,5202,,,2025-10-06,6ed8b5b8-da46-41e8-b21f-140e1f676d19,exit
GWW,sell,43,,,2025-10-06,eb3cdc49-38de-4a92-b15f-b996873f3eff,exit
IBM,sell,37,,,2025-10-06,797c06a5-491f-42f8-b3c5-9495e12593b5,exit
CSX,sell,4,,,2025-10-06,a83bea66-aed2-4e1a-97e8-72fc2cf498e8,exit
SHW,sell,97,,,2025-10-06,2bf7d8e8-52c4-4c63-92f7-e9d61f837fa0,exit
MGM,sell,2,,,2025-10-06,a5240918-e69e-4d28-b8a1-369e65995208,exit
