symbol,qty,side,market_value,avg_entry_price,unrealized_pl
CBRE,65.0,long,10669.1,165.991538,-120.35
ED,-416.0,short,-40073.28,96.38,20.8
HIG,305.0,long,39939.75,130.36,179.95
HOG,1.0,long,28.32,30.31,-1.99
IPGP,1.0,long,81.403,84.19,-2.787
KLAC,40.0,long,41040.0,998.31,1107.6
MAS,546.0,long,39705.12,73.38,-360.36
PTON,1.0,long,8.23,8.07,0.16
RMD,96.0,long,26304.0,271.13,275.52
RSG,175.0,long,39714.5,227.01,-12.25
SPXU,-27.0,short,-375.84,14.11,5.13
TPR,40.0,long,4567.6,113.67,20.8
ULTA,19.0,long,9907.6621,513.58,149.6421
UPRO,1.0,long,110.0801,109.1,0.9801
VUG,84.0,long,40263.72,476.05,275.52
VZ,-917.0,short,-39871.16,43.931418,413.95
WELL,62.0,long,10276.5,169.86,-254.82
ZM,1.0,long,83.99,85.82,-1.83
